,constructorRef,position,count
0,alfa,10,8
1,alfa,11,12
2,alfa,12,11
3,alfa,13,12
4,alfa,14,15
5,alfa,15,18
6,alfa,16,9
7,alfa,17,5
8,alfa,18,3
9,alfa,19,1
10,alfa,4,1
11,alfa,5,1
12,alfa,7,3
13,alfa,8,4
14,alfa,9,7
15,alfa,\N,10
16,alphatauri,1,1
17,alphatauri,10,6
18,alphatauri,11,7
19,alphatauri,12,6
20,alphatauri,13,4
21,alphatauri,14,2
22,alphatauri,15,5
23,alphatauri,16,1
24,alphatauri,17,2
25,alphatauri,19,1
26,alphatauri,3,1
27,alphatauri,4,4
28,alphatauri,5,3
29,alphatauri,6,7
30,alphatauri,7,8
31,alphatauri,8,3
32,alphatauri,9,6
33,alphatauri,\N,11
34,alpine,1,1
35,alpine,10,4
36,alpine,11,1
37,alpine,13,4
38,alpine,14,3
39,alpine,16,1
40,alpine,17,1
41,alpine,3,1
42,alpine,4,2
43,alpine,5,1
44,alpine,6,3
45,alpine,7,3
46,alpine,8,5
47,alpine,9,9
48,alpine,\N,5
49,aston_martin,10,4
50,aston_martin,11,5
51,aston_martin,12,5
52,aston_martin,13,5
53,aston_martin,14,2
54,aston_martin,15,2
55,aston_martin,17,1
56,aston_martin,18,1
57,aston_martin,2,1
58,aston_martin,20,1
59,aston_martin,5,2
60,aston_martin,6,1
61,aston_martin,7,2
62,aston_martin,8,4
63,aston_martin,9,2
64,aston_martin,\N,6
65,ferrari,1,9
66,ferrari,10,7
67,ferrari,11,4
68,ferrari,12,3
69,ferrari,13,5
70,ferrari,14,2
71,ferrari,15,1
72,ferrari,16,2
73,ferrari,17,1
74,ferrari,18,1
75,ferrari,2,17
76,ferrari,3,25
77,ferrari,4,22
78,ferrari,5,16
79,ferrari,6,13
80,ferrari,7,8
81,ferrari,8,9
82,ferrari,\N,17
83,force_india,10,4
84,force_india,11,3
85,force_india,12,3
86,force_india,13,1
87,force_india,14,2
88,force_india,15,1
89,force_india,16,2
90,force_india,3,1
91,force_india,5,1
92,force_india,6,3
93,force_india,7,5
94,force_india,8,4
95,force_india,9,4
96,force_india,\N,8
97,haas,10,6
98,haas,11,6
99,haas,12,7
100,haas,13,14
101,haas,14,6
102,haas,15,11
103,haas,16,13
104,haas,17,19
105,haas,18,13
106,haas,19,8
107,haas,20,3
108,haas,4,1
109,haas,5,2
110,haas,6,4
111,haas,7,4
112,haas,8,5
113,haas,9,5
114,haas,\N,34
115,mclaren,1,1
116,mclaren,10,8
117,mclaren,11,10
118,mclaren,12,8
119,mclaren,13,10
120,mclaren,14,7
121,mclaren,15,4
122,mclaren,16,4
123,mclaren,17,1
124,mclaren,18,1
125,mclaren,2,2
126,mclaren,3,5
127,mclaren,4,7
128,mclaren,5,18
129,mclaren,6,13
130,mclaren,7,14
131,mclaren,8,17
132,mclaren,9,10
133,mclaren,\N,22
134,mercedes,1,48
135,mercedes,11,1
136,mercedes,12,2
137,mercedes,14,1
138,mercedes,15,2
139,mercedes,2,37
140,mercedes,3,25
141,mercedes,4,11
142,mercedes,5,12
143,mercedes,6,2
144,mercedes,7,4
145,mercedes,8,4
146,mercedes,9,2
147,mercedes,\N,11
148,racing_point,1,1
149,racing_point,10,6
150,racing_point,11,3
151,racing_point,12,6
152,racing_point,13,6
153,racing_point,14,2
154,racing_point,15,1
155,racing_point,16,1
156,racing_point,17,2
157,racing_point,18,1
158,racing_point,19,1
159,racing_point,2,1
160,racing_point,3,2
161,racing_point,4,5
162,racing_point,5,2
163,racing_point,6,6
164,racing_point,7,8
165,racing_point,8,3
166,racing_point,9,8
167,racing_point,\N,11
168,red_bull,1,20
169,red_bull,10,2
170,red_bull,11,2
171,red_bull,12,1
172,red_bull,13,1
173,red_bull,14,2
174,red_bull,15,3
175,red_bull,16,1
176,red_bull,19,1
177,red_bull,2,20
178,red_bull,3,18
179,red_bull,4,23
180,red_bull,5,17
181,red_bull,6,14
182,red_bull,7,2
183,red_bull,8,6
184,red_bull,9,3
185,red_bull,\N,26
186,renault,10,8
187,renault,11,6
188,renault,12,9
189,renault,13,4
190,renault,14,7
191,renault,15,1
192,renault,17,1
193,renault,2,1
194,renault,3,2
195,renault,4,4
196,renault,5,6
197,renault,6,11
198,renault,7,11
199,renault,8,13
200,renault,9,10
201,renault,\N,24
202,sauber,10,6
203,sauber,11,3
204,sauber,12,3
205,sauber,13,4
206,sauber,15,3
207,sauber,16,2
208,sauber,19,1
209,sauber,6,1
210,sauber,7,4
211,sauber,9,5
212,sauber,\N,10
213,toro_rosso,10,9
214,toro_rosso,11,9
215,toro_rosso,12,8
216,toro_rosso,13,4
217,toro_rosso,14,7
218,toro_rosso,15,6
219,toro_rosso,16,1
220,toro_rosso,17,3
221,toro_rosso,18,2
222,toro_rosso,2,1
223,toro_rosso,20,1
224,toro_rosso,3,1
225,toro_rosso,4,1
226,toro_rosso,6,2
227,toro_rosso,7,4
228,toro_rosso,8,2
229,toro_rosso,9,8
230,toro_rosso,\N,15
231,williams,10,3
232,williams,11,9
233,williams,12,9
234,williams,13,6
235,williams,14,19
236,williams,15,15
237,williams,16,27
238,williams,17,20
239,williams,18,16
240,williams,19,7
241,williams,2,1
242,williams,20,1
243,williams,7,1
244,williams,8,2
245,williams,9,2
246,williams,\N,24
